symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
BHARTIARTL
ITC
LT
KOTAKBANK
AXISBANK
SBIN
BAJFINANCE
HINDUNILVR
MARUTI
ASIANPAINT
TITAN
SUNPHARMA
ULTRACEMCO
NESTLEIND
WIPRO
ADANIENT
ADANIPORTS
NTPC
POWERGRID
M&M
TATAMOTORS
TATASTEEL
JSWSTEEL
HCLTECH
TECHM
BAJAJFINSV
INDUSINDBK
CIPLA
DRREDDY
GRASIM
HINDALCO
COALINDIA
BPCL
ONGC
DIVISLAB
EICHERMOT
HEROMOTOCO
BRITANNIA
SHREECEM
UPL
APOLLOHOSP
SBILIFE
HDFCLIFE
TATACONSUM
BAJAJ-AUTO
